id,pingId,tukTukId,regNumber,latitude,longitude,speed,heading,accuracy,batteryLevel,timestamp
1,PING-000002,2,WP-TUK-0002,6.751302,79.981985,26,227,6.4,25,2026-03-27T00:30:00.000Z
2,PING-000003,2,WP-TUK-0002,6.749945,79.982712,33,122,3.9,65,2026-03-27T01:00:00.000Z
3,PING-000004,2,WP-TUK-0002,6.750443,79.983305,30,226,8.2,88,2026-03-27T01:30:00.000Z
4,PING-000005,2,WP-TUK-0002,6.750704,79.982064,8,260,7.2,42,2026-03-27T02:00:00.000Z
5,PING-000006,2,WP-TUK-0002,6.75158,79.982419,2,271,6.9,44,2026-03-27T02:30:00.000Z
6,PING-000007,2,WP-TUK-0002,6.75346,79.983476,16,317,6.8,69,2026-03-27T03:00:00.000Z
7,PING-000008,2,WP-TUK-0002,6.754838,79.98333,43,189,6.1,52,2026-03-27T03:30:00.000Z
8,PING-000009,2,WP-TUK-0002,6.753058,79.981784,55,87,6,32,2026-03-27T04:00:00.000Z
9,PING-000010,2,WP-TUK-0002,6.753686,79.979794,50,158,5.1,82,2026-03-27T04:30:00.000Z
10,PING-000011,2,WP-TUK-0002,6.751744,79.979231,43,103,6.9,78,2026-03-27T05:00:00.000Z
11,PING-000012,2,WP-TUK-0002,6.752576,79.981205,57,54,3.3,83,2026-03-27T05:30:00.000Z
12,PING-000013,2,WP-TUK-0002,6.753516,79.982559,9,144,4.8,47,2026-03-27T06:00:00.000Z
13,PING-000014,2,WP-TUK-0002,6.753815,79.982151,15,265,4.1,34,2026-03-27T06:30:00.000Z
14,PING-000015,2,WP-TUK-0002,6.755419,79.983533,19,335,9.3,34,2026-03-27T07:00:00.000Z
15,PING-000016,2,WP-TUK-0002,6.757358,79.983808,32,275,4.4,49,2026-03-27T07:30:00.000Z
16,PING-000017,2,WP-TUK-0002,6.75656,79.982832,41,154,4.2,85,2026-03-27T08:00:00.000Z
17,PING-000018,2,WP-TUK-0002,6.756167,79.982122,50,312,4.3,34,2026-03-27T08:30:00.000Z
18,PING-000019,2,WP-TUK-0002,6.755353,79.981942,47,229,8,72,2026-03-27T09:00:00.000Z
19,PING-000020,2,WP-TUK-0002,6.756177,79.981436,58,46,9.3,94,2026-03-27T09:30:00.000Z
20,PING-000021,2,WP-TUK-0002,6.757301,79.982547,21,174,4.6,40,2026-03-27T10:00:00.000Z
21,PING-000022,2,WP-TUK-0002,6.757916,79.980817,13,304,4.8,36,2026-03-27T10:30:00.000Z
22,PING-000023,2,WP-TUK-0002,6.758584,79.981569,0,89,9.9,44,2026-03-27T11:00:00.000Z
23,PING-000024,2,WP-TUK-0002,6.758137,79.982381,23,163,3.2,49,2026-03-27T11:30:00.000Z
24,PING-000025,2,WP-TUK-0002,6.759045,79.980649,12,164,6.4,49,2026-03-27T12:00:00.000Z
25,PING-000026,2,WP-TUK-0002,6.760568,79.980982,52,314,3.7,38,2026-03-27T12:30:00.000Z
26,PING-000027,2,WP-TUK-0002,6.758708,79.980138,9,39,9.3,82,2026-03-27T13:00:00.000Z
27,PING-000028,2,WP-TUK-0002,6.7601,79.979789,12,86,9.7,62,2026-03-27T13:30:00.000Z
28,PING-000029,2,WP-TUK-0002,6.759362,79.978372,26,246,8,44,2026-03-27T14:00:00.000Z
29,PING-000030,2,WP-TUK-0002,6.760465,79.97686,8,343,4.2,34,2026-03-27T14:30:00.000Z
30,PING-000031,2,WP-TUK-0002,6.759728,79.978125,39,323,3.2,85,2026-03-27T15:00:00.000Z
31,PING-000032,2,WP-TUK-0002,6.759019,79.976325,32,228,7.7,96,2026-03-27T15:30:00.000Z
32,PING-000033,2,WP-TUK-0002,6.758221,79.976949,10,323,7,85,2026-03-27T16:00:00.000Z
33,PING-000034,2,WP-TUK-0002,6.75911,79.976746,32,262,7.5,79,2026-03-28T00:30:00.000Z
34,PING-000035,2,WP-TUK-0002,6.7587,79.974982,13,301,3.3,53,2026-03-28T01:00:00.000Z
35,PING-000036,2,WP-TUK-0002,6.757169,79.976245,36,179,9.5,94,2026-03-28T01:30:00.000Z
36,PING-000037,2,WP-TUK-0002,6.758223,79.977601,15,88,5.4,25,2026-03-28T02:00:00.000Z
37,PING-000038,2,WP-TUK-0002,6.759687,79.978794,45,70,6.2,27,2026-03-28T02:30:00.000Z
38,PING-000039,2,WP-TUK-0002,6.758793,79.978801,17,189,3.6,78,2026-03-28T03:00:00.000Z
39,PING-000040,2,WP-TUK-0002,6.760527,79.978401,36,168,4.5,80,2026-03-28T03:30:00.000Z
40,PING-000041,2,WP-TUK-0002,6.76126,79.97974,30,112,6.2,44,2026-03-28T04:00:00.000Z
41,PING-000042,2,WP-TUK-0002,6.759825,79.97842,37,272,4.8,28,2026-03-28T04:30:00.000Z
42,PING-000043,2,WP-TUK-0002,6.760802,79.978794,29,292,4.7,36,2026-03-28T05:00:00.000Z
43,PING-000044,2,WP-TUK-0002,6.762487,79.979151,6,149,3.7,91,2026-03-28T05:30:00.000Z
44,PING-000045,2,WP-TUK-0002,6.761831,79.981055,5,263,3.7,21,2026-03-28T06:00:00.000Z
45,PING-000046,2,WP-TUK-0002,6.762735,79.980732,41,195,5.2,90,2026-03-28T06:30:00.000Z
46,PING-000047,2,WP-TUK-0002,6.76208,79.979873,39,220,3.9,70,2026-03-28T07:00:00.000Z
47,PING-000048,2,WP-TUK-0002,6.761345,79.980806,59,290,3.2,52,2026-03-28T07:30:00.000Z
48,PING-000049,2,WP-TUK-0002,6.762021,79.981203,5,110,9.2,32,2026-03-28T08:00:00.000Z
49,PING-000050,2,WP-TUK-0002,6.760664,79.983073,49,104,8.4,56,2026-03-28T08:30:00.000Z
50,PING-000051,2,WP-TUK-0002,6.760509,79.981825,42,62,9.1,75,2026-03-28T09:00:00.000Z
51,PING-000052,2,WP-TUK-0002,6.759771,79.982679,41,300,9.1,25,2026-03-28T09:30:00.000Z
52,PING-000053,2,WP-TUK-0002,6.761696,79.981332,31,350,3.8,43,2026-03-28T10:00:00.000Z
53,PING-000054,2,WP-TUK-0002,6.763687,79.980149,37,205,3,90,2026-03-28T10:30:00.000Z
54,PING-000055,2,WP-TUK-0002,6.761827,79.981059,39,71,8.1,87,2026-03-28T11:00:00.000Z
55,PING-000056,2,WP-TUK-0002,6.763775,79.979963,3,293,3.5,84,2026-03-28T11:30:00.000Z
56,PING-000057,2,WP-TUK-0002,6.761976,79.980774,7,192,6.4,54,2026-03-28T12:00:00.000Z
57,PING-000058,2,WP-TUK-0002,6.763613,79.980954,26,245,5.4,55,2026-03-28T12:30:00.000Z
58,PING-000059,2,WP-TUK-0002,6.762968,79.980866,23,353,4.5,22,2026-03-28T13:00:00.000Z
59,PING-000060,2,WP-TUK-0002,6.762744,79.981225,10,112,5.6,58,2026-03-28T13:30:00.000Z
60,PING-000061,2,WP-TUK-0002,6.760916,79.983137,53,357,9.5,92,2026-03-28T14:00:00.000Z
61,PING-000062,2,WP-TUK-0002,6.76256,79.984164,47,157,6.4,78,2026-03-28T14:30:00.000Z
62,PING-000063,2,WP-TUK-0002,6.761844,79.985694,4,237,8,60,2026-03-28T15:00:00.000Z
63,PING-000064,2,WP-TUK-0002,6.76288,79.986149,49,231,5.4,98,2026-03-28T15:30:00.000Z
64,PING-000065,2,WP-TUK-0002,6.762842,79.986925,56,142,6.1,90,2026-03-28T16:00:00.000Z
65,PING-000066,2,WP-TUK-0002,6.763465,79.985591,58,336,3.2,32,2026-03-29T00:30:00.000Z
66,PING-000067,2,WP-TUK-0002,6.762445,79.987449,39,246,6.3,34,2026-03-29T01:00:00.000Z
67,PING-000068,2,WP-TUK-0002,6.763656,79.988411,44,270,3.7,72,2026-03-29T01:30:00.000Z
68,PING-000069,2,WP-TUK-0002,6.764555,79.986674,24,25,3.7,81,2026-03-29T02:00:00.000Z
69,PING-000070,2,WP-TUK-0002,6.766127,79.985488,33,159,3.6,81,2026-03-29T02:30:00.000Z
70,PING-000071,2,WP-TUK-0002,6.766815,79.984135,54,89,9.7,92,2026-03-29T03:00:00.000Z
71,PING-000072,2,WP-TUK-0002,6.766065,79.985142,39,188,4.1,76,2026-03-29T03:30:00.000Z
72,PING-000073,2,WP-TUK-0002,6.764143,79.985878,41,315,8.1,26,2026-03-29T04:00:00.000Z
73,PING-000074,2,WP-TUK-0002,6.764293,79.986256,5,251,9.8,50,2026-03-29T04:30:00.000Z
74,PING-000075,2,WP-TUK-0002,6.764217,79.984695,33,288,3.4,35,2026-03-29T05:00:00.000Z
75,PING-000076,2,WP-TUK-0002,6.765259,79.98283,47,45,4.6,77,2026-03-29T05:30:00.000Z
76,PING-000077,2,WP-TUK-0002,6.766036,79.983227,22,48,8.8,83,2026-03-29T06:00:00.000Z
77,PING-000078,2,WP-TUK-0002,6.767227,79.981499,38,350,6.8,36,2026-03-29T06:30:00.000Z
78,PING-000079,2,WP-TUK-0002,6.767964,79.97993,26,223,8,34,2026-03-29T07:00:00.000Z
79,PING-000080,2,WP-TUK-0002,6.769198,79.979799,13,166,3.3,37,2026-03-29T07:30:00.000Z
80,PING-000081,2,WP-TUK-0002,6.76776,79.978737,37,141,4.3,52,2026-03-29T08:00:00.000Z
81,PING-000082,2,WP-TUK-0002,6.766869,79.977412,59,269,9.5,69,2026-03-29T08:30:00.000Z
82,PING-000083,2,WP-TUK-0002,6.768039,79.977567,8,172,9.2,40,2026-03-29T09:00:00.000Z
83,PING-000084,2,WP-TUK-0002,6.768158,79.976166,45,102,6.8,52,2026-03-29T09:30:00.000Z
84,PING-000085,2,WP-TUK-0002,6.769816,79.977336,13,160,5.6,42,2026-03-29T10:00:00.000Z
85,PING-000086,2,WP-TUK-0002,6.771582,79.979198,31,335,7,60,2026-03-29T10:30:00.000Z
86,PING-000087,2,WP-TUK-0002,6.771388,79.977476,13,168,9.1,85,2026-03-29T11:00:00.000Z
87,PING-000088,2,WP-TUK-0002,6.772931,79.979095,48,31,5.2,57,2026-03-29T11:30:00.000Z
88,PING-000089,2,WP-TUK-0002,6.773265,79.97937,42,271,6.3,47,2026-03-29T12:00:00.000Z
89,PING-000090,2,WP-TUK-0002,6.771541,79.977442,24,223,3.2,63,2026-03-29T12:30:00.000Z
90,PING-000091,2,WP-TUK-0002,6.77035,79.976407,51,6,6.9,50,2026-03-29T13:00:00.000Z
91,PING-000092,2,WP-TUK-0002,6.771505,79.976763,56,145,9.2,79,2026-03-29T13:30:00.000Z
92,PING-000093,2,WP-TUK-0002,6.773379,79.975476,15,85,7.3,84,2026-03-29T14:00:00.000Z
93,PING-000094,2,WP-TUK-0002,6.773803,79.974587,14,299,9.3,49,2026-03-29T14:30:00.000Z
94,PING-000095,2,WP-TUK-0002,6.773016,79.976241,31,22,4.1,75,2026-03-29T15:00:00.000Z
95,PING-000096,2,WP-TUK-0002,6.774768,79.97656,11,170,5.5,26,2026-03-29T15:30:00.000Z
96,PING-000097,2,WP-TUK-0002,6.773208,79.975991,38,161,7.3,99,2026-03-29T16:00:00.000Z
97,PING-000098,2,WP-TUK-0002,6.771943,79.974039,54,336,7.9,26,2026-03-30T00:30:00.000Z
98,PING-000099,2,WP-TUK-0002,6.772998,79.973794,17,231,4.4,35,2026-03-30T01:00:00.000Z
99,PING-000100,2,WP-TUK-0002,6.774965,79.973509,23,198,3.5,50,2026-03-30T01:30:00.000Z
100,PING-000101,2,WP-TUK-0002,6.774412,79.972962,36,1,4.7,47,2026-03-30T02:00:00.000Z
101,PING-000102,2,WP-TUK-0002,6.776092,79.974887,41,134,8,26,2026-03-30T02:30:00.000Z
102,PING-000103,2,WP-TUK-0002,6.776876,79.975232,33,159,9,96,2026-03-30T03:00:00.000Z
103,PING-000104,2,WP-TUK-0002,6.776427,79.975514,17,168,5.3,48,2026-03-30T03:30:00.000Z
104,PING-000105,2,WP-TUK-0002,6.775858,79.973612,36,158,5.3,21,2026-03-30T04:00:00.000Z
105,PING-000106,2,WP-TUK-0002,6.77754,79.974637,46,16,5.6,96,2026-03-30T04:30:00.000Z
106,PING-000107,2,WP-TUK-0002,6.777786,79.975593,55,156,6.3,77,2026-03-30T05:00:00.000Z
107,PING-000108,2,WP-TUK-0002,6.77649,79.975317,55,139,3.4,59,2026-03-30T05:30:00.000Z
108,PING-000109,2,WP-TUK-0002,6.778257,79.974233,0,284,5.1,75,2026-03-30T06:00:00.000Z
109,PING-000110,2,WP-TUK-0002,6.776738,79.973403,37,152,9.7,30,2026-03-30T06:30:00.000Z
110,PING-000111,2,WP-TUK-0002,6.778005,79.97199,20,184,7.8,76,2026-03-30T07:00:00.000Z
111,PING-000112,2,WP-TUK-0002,6.776498,79.972719,44,77,9.1,96,2026-03-30T07:30:00.000Z
112,PING-000113,2,WP-TUK-0002,6.77801,79.971806,8,155,4.1,79,2026-03-30T08:00:00.000Z
113,PING-000114,2,WP-TUK-0002,6.776471,79.972727,41,212,9.1,51,2026-03-30T08:30:00.000Z
114,PING-000115,2,WP-TUK-0002,6.778402,79.971438,51,7,6.3,48,2026-03-30T09:00:00.000Z
115,PING-000116,2,WP-TUK-0002,6.777422,79.969464,50,230,8.6,87,2026-03-30T09:30:00.000Z
116,PING-000117,2,WP-TUK-0002,6.779409,79.970625,42,342,7.4,94,2026-03-30T10:00:00.000Z
117,PING-000118,2,WP-TUK-0002,6.777762,79.970492,53,279,8.8,38,2026-03-30T10:30:00.000Z
118,PING-000119,2,WP-TUK-0002,6.77681,79.971708,7,296,5.2,79,2026-03-30T11:00:00.000Z
119,PING-000120,2,WP-TUK-0002,6.778406,79.97047,2,73,5,48,2026-03-30T11:30:00.000Z
120,PING-000121,2,WP-TUK-0002,6.778552,79.969231,27,205,7.6,76,2026-03-30T12:00:00.000Z
121,PING-000122,2,WP-TUK-0002,6.778408,79.971007,20,102,4.4,70,2026-03-30T12:30:00.000Z
122,PING-000123,2,WP-TUK-0002,6.777763,79.971422,49,220,6.3,89,2026-03-30T13:00:00.000Z
123,PING-000124,2,WP-TUK-0002,6.777529,79.970079,55,280,5.6,23,2026-03-30T13:30:00.000Z
124,PING-000125,2,WP-TUK-0002,6.778637,79.971915,1,251,7,64,2026-03-30T14:00:00.000Z
125,PING-000126,2,WP-TUK-0002,6.779011,79.972352,29,259,4.1,48,2026-03-30T14:30:00.000Z
126,PING-000127,2,WP-TUK-0002,6.77812,79.972697,22,316,3.9,66,2026-03-30T15:00:00.000Z
127,PING-000128,2,WP-TUK-0002,6.779729,79.971947,28,86,6.1,93,2026-03-30T15:30:00.000Z
128,PING-000129,2,WP-TUK-0002,6.779068,79.971447,48,162,9.1,89,2026-03-30T16:00:00.000Z
129,PING-000130,2,WP-TUK-0002,6.781026,79.970453,51,39,5.2,59,2026-03-31T00:30:00.000Z
130,PING-000131,2,WP-TUK-0002,6.779326,79.971209,39,305,6.3,75,2026-03-31T01:00:00.000Z
131,PING-000132,2,WP-TUK-0002,6.777544,79.971795,50,67,8,21,2026-03-31T01:30:00.000Z
132,PING-000133,2,WP-TUK-0002,6.778137,79.971219,31,228,5.5,30,2026-03-31T02:00:00.000Z
133,PING-000134,2,WP-TUK-0002,6.777163,79.971722,30,276,7.1,53,2026-03-31T02:30:00.000Z
134,PING-000135,2,WP-TUK-0002,6.775692,79.971311,15,258,8.8,39,2026-03-31T03:00:00.000Z
135,PING-000136,2,WP-TUK-0002,6.774697,79.970416,29,15,9.2,77,2026-03-31T03:30:00.000Z
136,PING-000137,2,WP-TUK-0002,6.775747,79.970962,37,182,9.5,35,2026-03-31T04:00:00.000Z
137,PING-000138,2,WP-TUK-0002,6.774767,79.970882,11,180,5.7,51,2026-03-31T04:30:00.000Z
138,PING-000139,2,WP-TUK-0002,6.77378,79.971135,47,164,3.4,39,2026-03-31T05:00:00.000Z
139,PING-000140,2,WP-TUK-0002,6.772181,79.972418,14,50,7,55,2026-03-31T05:30:00.000Z
140,PING-000141,2,WP-TUK-0002,6.770782,79.971127,26,275,9,74,2026-03-31T06:00:00.000Z
141,PING-000142,2,WP-TUK-0002,6.769786,79.972431,18,76,8.7,53,2026-03-31T06:30:00.000Z
142,PING-000143,2,WP-TUK-0002,6.769217,79.971435,18,222,5,72,2026-03-31T07:00:00.000Z
143,PING-000144,2,WP-TUK-0002,6.769294,79.972357,12,346,6.5,36,2026-03-31T07:30:00.000Z
144,PING-000145,2,WP-TUK-0002,6.768338,79.972946,30,212,10,91,2026-03-31T08:00:00.000Z
145,PING-000146,2,WP-TUK-0002,6.766665,79.971072,25,269,8.5,39,2026-03-31T08:30:00.000Z
146,PING-000147,2,WP-TUK-0002,6.767238,79.97268,56,10,6.7,97,2026-03-31T09:00:00.000Z
147,PING-000148,2,WP-TUK-0002,6.768783,79.972225,19,122,5.1,31,2026-03-31T09:30:00.000Z
148,PING-000149,2,WP-TUK-0002,6.768056,79.971864,39,332,4.4,97,2026-03-31T10:00:00.000Z
149,PING-000150,2,WP-TUK-0002,6.769795,79.973717,30,210,4.3,22,2026-03-31T10:30:00.000Z
150,PING-000151,2,WP-TUK-0002,6.770173,79.974445,49,11,7.1,66,2026-03-31T11:00:00.000Z
151,PING-000152,2,WP-TUK-0002,6.770799,79.975465,22,224,4.8,36,2026-03-31T11:30:00.000Z
152,PING-000153,2,WP-TUK-0002,6.769606,79.977075,59,281,4.7,44,2026-03-31T12:00:00.000Z
153,PING-000154,2,WP-TUK-0002,6.768022,79.975858,56,273,7.3,39,2026-03-31T12:30:00.000Z
154,PING-000155,2,WP-TUK-0002,6.766556,79.976644,20,162,4.4,72,2026-03-31T13:00:00.000Z
155,PING-000156,2,WP-TUK-0002,6.768019,79.975799,14,99,5.4,48,2026-03-31T13:30:00.000Z
156,PING-000157,2,WP-TUK-0002,6.767673,79.977783,43,267,8.9,20,2026-03-31T14:00:00.000Z
157,PING-000158,2,WP-TUK-0002,6.767515,79.979474,6,228,5,39,2026-03-31T14:30:00.000Z
158,PING-000159,2,WP-TUK-0002,6.769154,79.981229,22,28,4.2,32,2026-03-31T15:00:00.000Z
159,PING-000160,2,WP-TUK-0002,6.76913,79.982051,47,132,8.4,60,2026-03-31T15:30:00.000Z
160,PING-000161,2,WP-TUK-0002,6.769203,79.982975,46,274,3.2,35,2026-03-31T16:00:00.000Z
161,PING-000162,2,WP-TUK-0002,6.770779,79.984788,43,19,4.4,59,2026-04-01T00:30:00.000Z
162,PING-000163,2,WP-TUK-0002,6.772711,79.985864,18,61,3.3,80,2026-04-01T01:00:00.000Z
163,PING-000164,2,WP-TUK-0002,6.772257,79.985965,55,53,3.5,64,2026-04-01T01:30:00.000Z
164,PING-000165,2,WP-TUK-0002,6.773502,79.986259,47,321,9.1,40,2026-04-01T02:00:00.000Z
165,PING-000166,2,WP-TUK-0002,6.774621,79.984932,54,119,9.4,53,2026-04-01T02:30:00.000Z
166,PING-000167,2,WP-TUK-0002,6.776461,79.985804,11,308,7.1,40,2026-04-01T03:00:00.000Z
167,PING-000168,2,WP-TUK-0002,6.778406,79.984284,28,131,5,66,2026-04-01T03:30:00.000Z
168,PING-000169,2,WP-TUK-0002,6.779479,79.986051,16,345,6.7,33,2026-04-01T04:00:00.000Z
169,PING-000170,2,WP-TUK-0002,6.780842,79.986742,57,350,6.2,97,2026-04-01T04:30:00.000Z
170,PING-000171,2,WP-TUK-0002,6.781743,79.985088,31,215,9.8,67,2026-04-01T05:00:00.000Z
171,PING-000172,2,WP-TUK-0002,6.781738,79.984279,2,240,6.5,26,2026-04-01T05:30:00.000Z
172,PING-000173,2,WP-TUK-0002,6.780079,79.983165,47,226,9.1,51,2026-04-01T06:00:00.000Z
173,PING-000174,2,WP-TUK-0002,6.779359,79.984533,45,144,4,36,2026-04-01T06:30:00.000Z
174,PING-000175,2,WP-TUK-0002,6.781128,79.983866,11,69,8.5,97,2026-04-01T07:00:00.000Z
175,PING-000176,2,WP-TUK-0002,6.779528,79.985627,11,123,8.5,67,2026-04-01T07:30:00.000Z
176,PING-000177,2,WP-TUK-0002,6.780373,79.987467,29,276,4.2,68,2026-04-01T08:00:00.000Z
177,PING-000178,2,WP-TUK-0002,6.779076,79.988098,28,337,8.9,33,2026-04-01T08:30:00.000Z
178,PING-000179,2,WP-TUK-0002,6.778175,79.988315,17,283,6.2,41,2026-04-01T09:00:00.000Z
179,PING-000180,2,WP-TUK-0002,6.779329,79.989016,1,181,3.5,66,2026-04-01T09:30:00.000Z
180,PING-000181,2,WP-TUK-0002,6.778427,79.988055,16,19,7.8,45,2026-04-01T10:00:00.000Z
181,PING-000182,2,WP-TUK-0002,6.777881,79.987143,47,339,7.4,81,2026-04-01T10:30:00.000Z
182,PING-000183,2,WP-TUK-0002,6.776448,79.986838,0,52,4.5,49,2026-04-01T11:00:00.000Z
183,PING-000184,2,WP-TUK-0002,6.776812,79.988776,43,240,7.2,75,2026-04-01T11:30:00.000Z
184,PING-000185,2,WP-TUK-0002,6.776188,79.988167,3,341,5.6,58,2026-04-01T12:00:00.000Z
185,PING-000186,2,WP-TUK-0002,6.774524,79.986445,56,79,8.9,95,2026-04-01T12:30:00.000Z
186,PING-000187,2,WP-TUK-0002,6.774446,79.988207,41,20,6.6,59,2026-04-01T13:00:00.000Z
187,PING-000188,2,WP-TUK-0002,6.773749,79.987439,38,46,6.4,57,2026-04-01T13:30:00.000Z
188,PING-000189,2,WP-TUK-0002,6.772747,79.988171,57,282,6.3,72,2026-04-01T14:00:00.000Z
189,PING-000190,2,WP-TUK-0002,6.771389,79.989688,40,168,7.1,89,2026-04-01T14:30:00.000Z
190,PING-000191,2,WP-TUK-0002,6.773013,79.98948,48,196,9.3,99,2026-04-01T15:00:00.000Z
191,PING-000192,2,WP-TUK-0002,6.774456,79.991266,59,253,8.4,58,2026-04-01T15:30:00.000Z
192,PING-000193,2,WP-TUK-0002,6.774921,79.992069,49,147,9.5,48,2026-04-01T16:00:00.000Z
193,PING-000194,2,WP-TUK-0002,6.775646,79.990334,22,105,6,31,2026-04-02T00:30:00.000Z
194,PING-000195,2,WP-TUK-0002,6.774459,79.992038,0,292,6.7,34,2026-04-02T01:00:00.000Z
195,PING-000196,2,WP-TUK-0002,6.773715,79.991313,29,51,8.4,27,2026-04-02T01:30:00.000Z
196,PING-000197,2,WP-TUK-0002,6.77408,79.992533,0,315,8.6,90,2026-04-02T02:00:00.000Z
197,PING-000198,2,WP-TUK-0002,6.774528,79.990714,7,281,3.3,25,2026-04-02T02:30:00.000Z
198,PING-000199,2,WP-TUK-0002,6.774907,79.989431,10,236,3.8,72,2026-04-02T03:00:00.000Z
199,PING-000200,2,WP-TUK-0002,6.776428,79.988314,19,336,8.5,82,2026-04-02T03:30:00.000Z
200,PING-000201,2,WP-TUK-0002,6.775275,79.988526,24,264,5.7,29,2026-04-02T04:00:00.000Z
201,PING-000202,2,WP-TUK-0002,6.7744,79.989011,27,31,5.2,66,2026-04-02T04:30:00.000Z
202,PING-000203,2,WP-TUK-0002,6.775493,79.990584,28,4,3.5,64,2026-04-02T05:00:00.000Z
203,PING-000204,2,WP-TUK-0002,6.774089,79.989441,13,308,6.5,76,2026-04-02T05:30:00.000Z
204,PING-000205,2,WP-TUK-0002,6.775824,79.989055,53,204,6.7,67,2026-04-02T06:00:00.000Z
205,PING-000206,2,WP-TUK-0002,6.77629,79.990137,44,157,7.9,81,2026-04-02T06:30:00.000Z
206,PING-000207,2,WP-TUK-0002,6.775608,79.989694,49,217,3.9,57,2026-04-02T07:00:00.000Z
